"","UYRUK","GELIR","CALISAN_SAYISI","DIL","YAS","CINSIYET","EGITIM_SEVIYESI","ILCE","ONCEKI_MESLEK","MEDENI_DURUM","EBEVEYN_SAYISI","AILE_KISI_SAYISI","A_SABIKA_KAYDI","PSIKIYATRI_KAYDI","SABIKA_KAYDI","MADDE_BAGIMLILIGI","TEROR","SUC_TESPITI","","","","","","",""
"40","IRAN","3000","1","FARSCA","28","ERKEK","ORTAOKUL","USKUDAR","OGRENCI","BEKAR","0","2","1","1","0","1","1","1","","","","","","",""
"41","SURIYE","2400","3","ARAPCA","40","KADIN","LISE","BESIKTAS","EMLAKCI","EVLI","1","6","0","1","4","1","1","1","","","","","","",""
"42","AMERIKA","0","3","INGILIZCE","23","ERKEK","UNIVERSITE","SULTANBEYLI","ISSIZ","BEKAR","2","7","3","0","0","0","0","1","","","","","","",""
"43","CIN","0","2","CINCE","52","KADIN","LISE","KADIKOY","EV_HANIMI","EVLI","0","4","3","0","2","0","1","1","","","","","","",""
"44","RUSYA","0","2","RUSCA","38","ERKEK","EGITIMSIZ","USKUDAR","TERZI","BOSANMIS","0","5","1","0","0","2","0","1","","","","","","",""
"45","JAPONYA","1600","1","JAPONCA","65","KADIN","ILKOKUL","BESIKTAS","EV_HANIMI","BOSANMIS","2","3","1","0","0","1","0","1","","","","","","",""
"46","AFGANISTAN","3200","1","FARSCA","25","ERKEK","UNIVERSITE","EYUPSULTAN","TAKSI_SOFORU","BEKAR","1","2","0","1","1","1","1","1","","","","","","",""
"47","NIJERYA","2500","3","ARAPCA","45","KADIN","LISE","KADIKOY","KASIYER","EVLI","2","6","3","1","0","0","1","1","","","","","","",""
"48","INGILTERE","2100","2","INGILIZCE","40","ERKEK","ORTAOKUL","SULTANBEYLI","INSAAT_USTASI","BOSANMIS","2","4","3","0","0","0","0","1","","","","","","",""
"49","BULGARISTAN","1800","1","BULGARCA","58","KADIN","ILKOKUL","USKUDAR","EV_HANIMI","BOSANMIS","1","3","1","0","0","2","1","1","","","","","","",""
"50","IRAN","0","1","FARSCA","27","ERKEK","UNIVERSITE","BESIKTAS","OGRENCI","BEKAR","0","2","1","0","2","1","0","1","","","","","","",""
"51","SURIYE","2300","3","ARAPCA","42","KADIN","LISE","KADIKOY","EMLAKCI","EVLI","1","5","4","0","3","1","0","1","","","","","","",""
"52","AMERIKA","4000","3","INGILIZCE","23","ERKEK","UNIVERSITE","SULTANBEYLI","ISSIZ","BEKAR","2","7","4","1","6","0","1","1","","","","","","",""
"53","CIN","1200","2","CINCE","52","KADIN","EGITIMSIZ","KADIKOY","EV_HANIMI","EVLI","0","4","3","1","1","0","1","1","","","","","","",""
"54","RUSYA","0","2","RUSCA","38","ERKEK","ORTAOKUL","USKUDAR","TERZI","BOSANMIS","0","5","2","0","0","2","0","1","","","","","","",""
"55","JAPONYA","1600","1","JAPONCA","65","KADIN","EGITIMSIZ","BESIKTAS","EV_HANIMI","BOSANMIS","2","3","1","0","0","1","1","1","","","","","","",""
"56","AFGANISTAN","3200","1","FARSCA","25","ERKEK","UNIVERSITE","EYUPSULTAN","ÖĞRENCİ","BEKAR","1","2","0","0","0","1","0","1","","","","","","",""
"57","NIJERYA","2500","3","ARAPCA","45","KADIN","LISE","KADIKOY","KASIYER","EVLI","2","6","5","0","2","0","0","1","","","","","","",""
"58","INGILTERE","0","2","INGILIZCE","40","ERKEK","ORTAOKUL","SULTANBEYLI","TAKSI_SOFORU","BOSANMIS","2","4","3","1","3","0","1","1","","","","","","",""
"59","BULGARISTAN","1800","1","BULGARCA","58","KADIN","ILKOKUL","USKUDAR","EV_HANIMI","EVLI","1","3","2","1","6","2","1","1","","","","","","",""
"60","IRAN","0","1","FARSCA","27","ERKEK","UNIVERSITE","BESIKTAS","OGRENCI","BEKAR","0","2","0","0","1","1","0","1","","","","","","",""
"61","SURIYE","2300","3","ARAPCA","42","KADIN","LISE","KADIKOY","EMLAKCI","EVLI","1","5","4","0","0","1","1","1","","","","","","",""
"62","AMERIKA","2900","2","INGILIZCE","62","KADIN","ILKOKUL","SULTANBEYLI","EV_HANIMI","BOSANMIS","2","4","3","0","0","0","0","1","","","","","","",""
"63","CIN","0","1","CINCE","57","ERKEK","LISE","USKUDAR","KASIYER","EVLI","0","3","2","0","0","0","0","1","","","","","","",""
"64","RUSYA","3400","1","RUSCA","26","KADIN","UNIVERSITE","BESIKTAS","TAKSI_SOFORU","BEKAR","0","2","1","1","2","2","1","1","","","","","","",""
"65","JAPONYA","2300","3","JAPONCA","46","ERKEK","ORTAOKUL","KADIKOY","INSAAT_USTASI","BOSANMIS","2","5","3","1","0","1","1","1","","","","","","",""
"66","AFGANISTAN","2000","3","FARSCA","41","KADIN","LISE","SULTANBEYLI","EMLAKCI","EVLI","1","6","0","0","0","0","0","1","","","","","","",""
"67","NIJERYA","3600","2","ARAPCA","30","ERKEK","UNIVERSITE","USKUDAR","ISSIZ","BEKAR","2","4","2","0","1","1","1","1","","","","","","",""
"68","INGILTERE","0","1","INGILIZCE","61","KADIN","ILKOKUL","BESIKTAS","KASIYER","BOSANMIS","2","3","1","0","5","0","0","1","","","","","","",""
"69","BULGARISTAN","0","1","BULGARCA","28","ERKEK","UNIVERSITE","KADIKOY","OGRENCI","BEKAR","1","2","0","0","4","0","0","1","","","","","","",""
"70","IRAN","0","3","FARSCA","43","KADIN","LISE","SULTANBEYLI","KASIYER","EVLI","0","5","3","1","0","2","1","1","","","","","","",""
"71","SURIYE","1500","1","ARAPCA","56","ERKEK","ORTAOKUL","USKUDAR","TERZI","BEKAR","1","3","1","1","0","1","1","1","","","","","","",""
"72","AMERIKA","2900","2","INGILIZCE","62","KADIN","EGITIMSIZ","SULTANBEYLI","KASIYER","BOSANMIS","2","4","2","0","0","1","0","1","","","","","","",""
"73","CIN","1400","1","CINCE","57","ERKEK","LISE","USKUDAR","KASIYER","EVLI","0","3","1","0","6","0","1","1","","","","","","",""
"74","RUSYA","3400","1","RUSCA","26","KADIN","EGITIMSIZ","BESIKTAS","OGRENCI","BEKAR","0","2","0","0","1","0","0","1","","","","","","",""
"75","JAPONYA","2300","3","JAPONCA","46","ERKEK","ORTAOKUL","KADIKOY","INSAAT_USTASI","BOSANMIS","2","5","4","0","5","2","0","1","","","","","","",""
"76","AFGANISTAN","0","3","FARSCA","41","KADIN","LISE","SULTANBEYLI","GARSON","EVLI","1","6","5","1","4","1","1","1","","","","","","",""
"77","NIJERYA","0","2","ARAPCA","30","ERKEK","UNIVERSITE","USKUDAR","ISSIZ","BEKAR","2","4","4","1","0","1","1","1","","","","","","",""
"78","INGILTERE","1800","1","INGILIZCE","61","KADIN","ILKOKUL","BESIKTAS","GARSON","BOSANMIS","2","3","3","0","0","0","0","1","","","","","","",""
"79","BULGARISTAN","3200","1","BULGARCA","28","ERKEK","UNIVERSITE","KADIKOY","OGRENCI","BEKAR","1","2","1","0","3","0","1","1","","","","","","",""
"80","IRAN","2200","3","FARSCA","43","KADIN","LISE","SULTANBEYLI","GARSON","EVLI","0","5","1","0","6","2","0","1","","","","","","",""
"81","SURIYE","1500","1","ARAPCA","56","ERKEK","ORTAOKUL","USKUDAR","TERZI","BOSANMIS","1","3","2","0","0","1","0","1","","","","","","",""
"82","AMERIKA","3900","2","INGILIZCE","33","ERKEK","UNIVERSITE","UMRANIYE","MUHASEBECİ","BEKAR","2","4","1","1","0","1","1","1","","","","","","",""
"83","CIN","0","1","CINCE","54","KADIN","LISE","USKUDAR","EV_HANIMI","EVLI","0","2","0","1","4","0","1","1","","","","","","",""
"84","RUSYA","0","3","RUSCA","25","ERKEK","EGITIMSIZ","CEKMEKOY","OGRENCI","BEKAR","0","6","4","0","0","0","0","1","","","","","","",""
"85","JAPONYA","2100","3","JAPONCA","48","KADIN","LISE","UMRANIYE","GARSON","EVLI","2","5","1","0","2","2","1","1","","","","","","",""
"86","AFGANISTAN","3500","2","FARSCA","40","ERKEK","UNIVERSITE","USKUDAR","GARSON","BOSANMIS","1","4","3","0","0","1","0","1","","","","","","",""
"87","NIJERYA","1800","1","ARAPCA","57","KADIN","ILKOKUL","CEKMEKOY","GARSON","BOSANMIS","2","3","0","0","0","1","0","1","","","","","","",""
"88","INGILTERE","3100","1","INGILIZCE","29","KADIN","EGITIMSIZ","UMRANIYE","EMLAKCI","BEKAR","2","2","0","1","1","0","1","1","","","","","","",""
"89","BULGARISTAN","2300","3","BULGARCA","42","ERKEK","LISE","USKUDAR","EMLAKCI","EVLI","1","5","1","1","5","0","1","1","","","","","","",""
"90","IRAN","0","2","FARSCA","64","KADIN","ILKOKUL","CEKMEKOY","EV_HANIMI","EVLI","0","4","3","0","4","2","0","1","","","","","","",""
"91","SURIYE","1500","1","ARAPCA","55","ERKEK","ORTAOKUL","UMRANIYE","TERZI","BOSANMIS","1","3","2","0","0","1","1","1","","","","","","",""
"92","AMERIKA","2600","2","INGILIZCE","32","ERKEK","UNIVERSITE","BESIKTAS","MUHASEBECI","BEKAR","2","5","2","0","0","1","0","1","","","","","","",""
"93","CIN","0","2","CINCE","51","KADIN","LISE","KADIKOY","EV_HANIMI","EVLI","0","4","3","0","0","0","0","1","","","","","","",""
"94","RUSYA","0","2","RUSCA","23","ERKEK","UNIVERSITE","SULTANBEYLI","ISSIZ","BEKAR","0","3","1","1","6","0","1","1","","","","","","",""
"95","JAPONYA","1700","1","JAPONCA","59","KADIN","ILKOKUL","USKUDAR","EV HANIMI","BOSANMIS","2","2","2","1","1","2","1","1","","","","","","",""
"96","AFGANISTAN","2500","3","FARSCA","43","ERKEK","ORTAOKUL","BESIKTAS","INSAAT_USTASI","BEKAR","1","6","3","0","5","1","0","1","","","","","","",""
"97","NIJERYA","2200","3","ARAPCA","46","KADIN","LISE","KADIKOY","KASIYER","EVLI","2","5","5","0","0","1","1","1","","","","","","",""
"98","INGILTERE","3700","2","INGILIZCE","30","ERKEK","UNIVERSITE","SULTANBEYLI","ISSIZ","BEKAR","2","4","0","0","0","0","0","1","","","","","","",""
"99","BULGARISTAN","0","1","BULGARCA","57","KADIN","LISE","USKUDAR","EV HANIMI","EVLI","1","3","0","0","1","0","0","1","","","","","","",""
"100","IRAN","3300","1","FARSCA","28","ERKEK","UNIVERSITE","BESIKTAS","OGRENCI","BEKAR","0","2","1","1","3","2","1","1","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
